Date,Price,Open,High,Low,Vol.,Change %
2006-05-01,24.53,26.05,28.45,24.15,16.14M,-5.00%
2006-06-01,23.22,24.5,24.99,20.12,16.89M,-5.34%
2006-07-01,24.24,23.43,24.32,22.25,9.88M,4.39%
2006-08-01,23.18,24.27,24.34,22.22,8.84M,-4.37%
2006-09-01,26.99,23.37,27.38,22.5,9.74M,16.44%
2006-10-01,28.02,27.0,28.98,25.7,19.27M,3.82%
2006-11-01,30.84,27.56,30.98,27.42,17.34M,10.06%
2006-12-01,31.49,30.99,31.83,29.0,15.20M,2.11%
2007-01-01,34.68,31.99,34.77,30.13,22.02M,10.13%
2007-02-01,38.46,34.91,41.53,34.63,25.38M,10.90%
2007-03-01,38.33,37.51,39.9,35.46,28.73M,-0.34%
2007-04-01,38.73,38.01,42.76,37.51,24.64M,1.04%
2007-05-01,38.63,39.26,40.05,35.89,30.85M,-0.26%
2007-06-01,43.75,38.64,46.35,36.68,32.88M,13.25%
2007-07-01,41.92,44.0,47.55,40.47,30.52M,-4.18%
2007-08-01,45.54,41.99,46.06,34.62,44.77M,8.64%
2007-09-01,54.38,45.88,54.85,45.23,28.53M,19.41%
2007-10-01,63.57,54.64,63.57,51.0,33.82M,16.90%
2007-11-01,57.84,61.09,64.74,50.5,33.58M,-9.01%
2007-12-01,72.21,57.4,76.14,54.4,57.87M,24.84%
2008-01-01,64.42,72.6,75.01,50.86,87.03M,-10.79%
2008-02-01,73.77,64.99,76.78,57.36,66.68M,14.51%
2008-03-01,62.11,72.96,75.38,59.4,63.25M,-15.81%
2008-04-01,79.0,63.44,95.47,59.77,125.09M,27.19%
2008-05-01,87.42,77.68,91.0,75.23,81.29M,10.66%
2008-06-01,107.54,87.41,113.88,86.31,124.41M,23.02%
2008-07-01,88.0,105.82,108.5,80.05,117.39M,-18.17%
2008-08-01,84.3,89.37,89.84,72.76,85.33M,-4.20%
2008-09-01,56.08,81.0,87.75,51.66,127.08M,-33.48%
2008-10-01,37.98,57.24,57.68,25.92,236.37M,-32.28%
2008-11-01,31.42,38.89,43.54,23.08,123.32M,-17.27%
2008-12-01,34.13,30.24,35.17,22.08,86.84M,8.63%
2009-01-01,33.47,34.74,38.85,29.0,80.99M,-1.93%
2009-02-01,34.78,32.9,41.59,32.35,102.39M,3.91%
2009-03-01,35.79,33.76,40.07,29.59,87.06M,2.90%
2009-04-01,43.02,35.24,44.66,35.03,56.14M,20.20%
2009-05-01,49.22,43.61,53.7,43.45,90.79M,14.41%
2009-06-01,39.89,50.77,51.16,38.86,92.95M,-18.96%
2009-07-01,46.19,40.46,46.5,35.27,72.38M,15.79%
2009-08-01,47.71,47.47,50.0,45.16,51.41M,3.29%
2009-09-01,49.79,47.45,54.43,45.48,48.32M,4.36%
2009-10-01,46.95,49.79,57.63,45.98,53.32M,-5.70%
2009-11-01,55.86,47.1,58.58,46.5,52.88M,18.98%
2009-12-01,61.5,56.78,65.26,56.51,54.31M,10.10%
2010-01-01,56.35,62.33,71.11,56.1,50.13M,-8.37%
2010-02-01,64.75,57.42,67.22,56.85,49.64M,14.91%
2010-03-01,70.63,65.05,73.85,64.84,47.47M,9.08%
2010-04-01,62.41,71.37,71.45,59.83,37.26M,-11.64%
2010-05-01,54.89,62.83,63.24,51.41,41.24M,-12.05%
2010-06-01,48.94,54.58,55.93,48.83,30.32M,-10.84%
2010-07-01,63.0,48.85,63.46,47.96,41.29M,28.73%
2010-08-01,69.57,64.0,70.76,62.77,65.88M,10.43%
2010-09-01,74.99,70.7,78.96,70.2,31.07M,7.79%
2010-10-01,88.51,75.69,89.16,72.32,39.52M,18.03%
2010-11-01,80.23,89.27,89.69,76.33,41.74M,-9.35%
2010-12-01,91.75,81.55,92.56,79.64,37.50M,14.36%
2011-01-01,88.39,93.45,95.8,84.88,46.58M,-3.66%
2011-02-01,95.08,89.5,99.14,87.12,52.35M,7.57%
2011-03-01,92.26,94.73,97.88,83.85,46.25M,-2.97%
2011-04-01,90.43,93.36,96.2,86.4,27.98M,-1.98%
2011-05-01,88.06,90.82,91.57,77.98,39.37M,-2.62%
2011-06-01,87.76,87.18,88.89,79.49,37.40M,-0.34%
2011-07-01,87.38,87.49,93.49,85.02,25.82M,-0.43%
2011-08-01,85.96,89.07,89.09,74.0,39.64M,-1.63%
2011-09-01,66.66,86.01,90.17,66.6,30.62M,-22.45%
2011-10-01,82.29,65.62,85.25,60.15,34.33M,23.45%
2011-11-01,69.99,79.04,82.88,65.68,30.21M,-14.95%
2011-12-01,67.11,69.99,72.34,63.39,20.30M,-4.11%
2012-01-01,80.26,68.46,81.59,68.43,25.27M,19.59%
2012-02-01,85.16,81.24,86.62,80.22,23.61M,6.11%
2012-03-01,86.37,85.35,89.9,79.85,22.69M,1.42%
2012-04-01,87.9,86.46,89.25,83.41,13.56M,1.77%
2012-05-01,78.14,87.78,89.35,76.22,26.33M,-11.10%
2012-06-01,88.47,76.77,88.87,74.28,22.78M,13.22%
2012-07-01,94.96,89.11,97.64,87.46,22.27M,7.34%
2012-08-01,98.38,95.34,101.89,92.4,24.90M,3.60%
2012-09-01,103.46,98.55,106.1,96.95,16.77M,5.16%
2012-10-01,105.54,103.72,108.42,102.79,20.07M,2.01%
2012-11-01,102.02,105.2,107.8,92.64,23.03M,-3.34%
2012-12-01,99.87,102.96,102.96,97.01,10.61M,-2.11%
2013-01-01,113.49,101.44,115.31,101.29,14.51M,13.64%
2013-02-01,103.45,114.2,114.92,98.99,19.22M,-8.85%
2013-03-01,97.5,104.16,107.37,94.87,20.98M,-5.75%
2013-04-01,91.67,97.19,98.54,90.1,28.83M,-5.98%
2013-05-01,92.38,91.9,95.28,87.92,25.13M,0.77%
2013-06-01,86.96,92.68,92.99,83.33,13.66M,-5.87%
2013-07-01,85.0,87.43,93.59,83.78,23.79M,-2.25%
2013-08-01,85.78,85.36,89.99,77.19,23.60M,0.92%
2013-09-01,84.03,86.0,92.64,83.6,16.09M,-2.04%
2013-10-01,85.32,83.88,88.65,81.6,26.78M,1.54%
2013-11-01,90.07,85.49,91.27,84.75,19.45M,5.57%
2013-12-01,91.48,90.27,92.92,87.85,15.57M,1.57%
2014-01-01,87.1,91.26,95.79,85.92,15.93M,-4.79%
2014-02-01,92.28,87.77,92.92,84.3,14.71M,5.95%
2014-03-01,97.52,91.4,97.92,91.4,14.18M,5.68%
2014-04-01,96.07,97.48,97.97,91.4,12.05M,-1.49%
2014-05-01,89.89,96.06,96.45,89.04,12.81M,-6.43%
2014-06-01,91.63,89.89,94.07,89.42,11.24M,1.94%
2014-07-01,91.08,91.88,92.9,88.08,12.10M,-0.60%
2014-08-01,94.63,90.84,94.95,88.77,13.05M,3.90%
2014-09-01,89.0,94.58,95.1,88.43,12.73M,-5.95%
2014-10-01,97.82,88.48,98.0,82.02,27.67M,9.91%
2014-11-01,97.42,97.45,103.93,95.0,14.42M,-0.41%
2014-12-01,94.72,96.71,98.43,90.92,10.55M,-2.77%
2015-01-01,106.65,94.97,108.3,93.09,15.45M,12.60%
2015-02-01,115.53,107.69,116.65,104.3,11.84M,8.33%
2015-03-01,104.27,115.3,116.81,104.05,14.44M,-9.75%
2015-04-01,103.63,104.65,108.52,103.06,11.63M,-0.61%
2015-05-01,103.96,103.44,110.21,102.79,10.96M,0.32%
2015-06-01,105.95,103.97,106.25,101.43,14.39M,1.91%
2015-07-01,102.26,106.22,109.46,97.06,15.06M,-3.48%
2015-08-01,103.87,102.22,106.76,92.84,17.92M,1.57%
2015-09-01,89.5,100.92,105.6,86.6,18.03M,-13.83%
2015-10-01,93.07,90.19,98.05,86.84,15.24M,3.99%
2015-11-01,98.73,92.87,99.99,92.66,11.53M,6.08%
2015-12-01,89.34,98.72,99.6,88.78,12.47M,-9.51%
2016-01-01,86.87,88.1,91.01,81.06,19.68M,-2.76%
2016-02-01,85.93,87.24,87.87,79.94,23.74M,-1.08%
2016-03-01,88.29,87.51,92.94,85.91,21.22M,2.75%
2016-04-01,86.12,87.49,90.0,81.17,20.27M,-2.46%
2016-05-01,90.2,86.36,92.05,83.15,23.29M,4.74%
2016-06-01,90.42,90.05,96.68,87.68,16.39M,0.24%
2016-07-01,90.76,89.9,96.61,87.62,11.38M,0.38%
2016-08-01,96.36,90.61,100.24,87.75,17.37M,6.17%
2016-09-01,90.69,96.18,98.95,88.21,19.59M,-5.88%
2016-10-01,91.82,90.27,94.45,87.78,9.51M,1.25%
2016-11-01,100.85,92.52,101.94,88.65,11.07M,9.83%
2016-12-01,100.55,101.43,109.73,98.5,8.20M,-0.30%
2017-01-01,102.91,100.7,111.88,100.08,8.84M,2.35%
2017-02-01,96.6,102.89,107.76,96.47,8.52M,-6.13%
2017-03-01,95.55,97.96,100.47,93.82,12.96M,-1.09%
2017-04-01,93.93,95.61,96.05,90.09,7.43M,-1.70%
2017-05-01,92.33,94.44,94.52,87.82,9.64M,-1.70%
2017-06-01,90.49,92.7,96.98,89.92,10.67M,-1.99%
2017-07-01,100.1,91.0,100.97,89.34,9.62M,10.62%
2017-08-01,98.04,100.28,101.92,95.8,9.31M,-2.06%
2017-09-01,107.21,98.45,110.42,96.67,6.56M,9.35%
2017-10-01,108.92,107.25,110.57,104.89,5.52M,1.59%
2017-11-01,109.94,110.02,110.25,103.51,5.79M,0.94%
2017-12-01,115.0,109.95,117.28,104.05,7.34M,4.60%
2018-01-01,115.0,115.0,115.0,115.0,,0.00%
